Invoice_Number,Invoice_Date,Year,Month,Quarter,Day,Weekday,Customer_ID,Customer_Name,Customer_Type,Industry,Region_ID,Region_Name,Zone,Salesperson_ID,Salesperson_Name,Designation,Product_ID,Product_Name,Category,Quantity,Manufacturing_Cost,Selling_Price,Subtotal,Discount_Percent,Discount_Amount,GST,Profit,Total_Amount,Payment_Method,Payment_Status,Delivery_Status,Lead_Time_Days,Demand_Level
INV100082,2024-07-31,2024,7,3,31,Wednesday,CUST0382,Engineers India Branch 14,Gold,Oil & Gas,REG020,Goa,West,SP0009,Pooja Patel,Area Sales Manager,PRD0002,Bridge Plug,Wellhead Equipment,12,407473,557901,6694812,10,669481.2,1084559.54,1805136,7109890.34,UPI,Paid,Delivered,10,Low
INV100083,2025-09-13,2025,9,3,13,Saturday,CUST0453,Vedanta Limited Branch 27,Platinum,Energy,REG008,Madhya Pradesh,Central,SP0047,Priya Gupta,Regional Sales Manager,PRD0014,Christmas Tree,Downhole Tools,7,540174,759187,5314309,15,797146.35,813089.28,1533091,5330251.93,Bank Transfer,Pending,Delivered,30,Low
INV100084,2023-07-26,2023,7,3,26,Wednesday,CUST0015,GAIL India Branch 15,Silver,Energy,REG013,Kerala,South,SP0076,Priya Patel,Sales Executive,PRD0016,Drill Bit,Downhole Tools,12,974079,1280634,15367608,20,3073521.6,2212935.55,3678660,14507021.95,RTGS,Overdue,Processing,13,High
INV100085,2023-11-10,2023,11,4,10,Friday,CUST0222,BHEL Branch 12,Platinum,Energy,REG018,Chhattisgarh,Central,SP0059,Pooja Agarwal,Sales Executive,PRD0013,Wellhead Assembly,Wellhead Equipment,1,784714,1016097,1016097,0,0.0,182897.46,231383,1198994.46,Bank Transfer,Paid,Processing,19,Low
INV100086,2023-06-28,2023,6,2,28,Wednesday,CUST0215,HPCL Branch 16,Platinum,Energy,REG004,Haryana,North,SP0054,Shreya Patel,Senior Sales Executive,PRD0017,Casing Pipe,Drilling Tools,2,575504,798082,1596164,0,0.0,287309.52,445156,1883473.52,NEFT,Pending,In Transit,30,Low
INV100087,2023-10-05,2023,10,4,5,Thursday,CUST0287,Reliance Industries Branch 2,Gold,Mining,REG015,West Bengal,East,SP0030,Shreya Yadav,Regional Sales Manager,PRD0016,Drill Bit,Downhole Tools,14,974079,1280634,17928876,20,3585775.2,2581758.14,4291770,16924858.94,NEFT,Paid,In Transit,13,High
INV100088,2025-03-26,2025,3,1,26,Wednesday,CUST0301,Indian Oil Branch 10,Gold,Engineering,REG014,Odisha,East,SP0074,Pooja Patel,Area Sales Manager,PRD0016,Drill Bit,Downhole Tools,7,974079,1280634,8964438,10,896443.8,1452238.96,2145885,9520233.16,Cash,Overdue,In Transit,13,High
INV100089,2022-01-04,2022,1,1,4,Tuesday,CUST0328,ONGC Branch 14,Silver,Oil & Gas,REG012,Telangana,South,SP0012,Vikas Yadav,Senior Sales Executive,PRD0007,Float Collar,Wellhead Equipment,17,676417,955015,16235255,20,3247051.0,2337876.72,4736166,15326080.72,Cheque,Overdue,Processing,21,High
INV100090,2025-10-05,2025,10,4,5,Sunday,CUST0321,Larsen & Toubro Branch 4,Gold,Oil & Gas,REG010,Karnataka,South,SP0088,Nikhil Gupta,Senior Sales Executive,PRD0002,Bridge Plug,Wellhead Equipment,7,407473,557901,3905307,10,390530.7,632659.73,1052996,4147436.03,RTGS,Paid,Processing,10,Low
INV100091,2023-11-08,2023,11,4,8,Wednesday,CUST0038,ONGC Branch 3,Silver,Mining,REG019,Bihar,East,SP0092,Sandeep Sharma,Regional Sales Manager,PRD0004,Mud Motor,Wellhead Equipment,20,508496,701218,14024360,10,1402436.0,2271946.32,3854440,14893870.32,Cheque,Paid,Processing,31,High
INV100092,2023-09-08,2023,9,3,8,Friday,CUST0185,Adani Power Branch 10,Platinum,Engineering,REG019,Bihar,East,SP0077,Karan Agarwal,Area Sales Manager,PRD0013,Wellhead Assembly,Wellhead Equipment,17,784714,1016097,17273649,10,1727364.9,2798331.14,3933511,18344615.24,Cheque,Pending,In Transit,19,Low
INV100093,2024-04-04,2024,4,2,4,Thursday,CUST0096,Larsen & Toubro Branch 1,Gold,Oil & Gas,REG018,Chhattisgarh,Central,SP0008,Amit Verma,Sales Executive,PRD0016,Drill Bit,Downhole Tools,23,974079,1280634,29454582,10,2945458.2,4771642.28,7050765,31280766.08,NEFT,Paid,Delivered,13,High
INV100094,2024-05-11,2024,5,2,11,Saturday,CUST0177,Bharat Petroleum Branch 28,Platinum,Oil & Gas,REG016,Assam,East,SP0082,Neha Agarwal,Regional Sales Manager,PRD0012,Tubing Hanger,Hydraulic Equipment,22,1002729,1270201,27944422,15,4191663.3,4275496.57,5884384,28028255.27,Cheque,Overdue,Delivered,15,Low
INV100095,2025-06-14,2025,6,2,14,Saturday,CUST0444,Oil India Branch 21,Gold,Energy,REG018,Chhattisgarh,Central,SP0002,Vikas Gupta,Sales Executive,PRD0013,Wellhead Assembly,Wellhead Equipment,19,784714,1016097,19305843,10,1930584.3,3127546.57,4396277,20502805.27,RTGS,Overdue,Delivered,19,Low
INV100096,2023-09-15,2023,9,3,15,Friday,CUST0408,Vedanta Limited Branch 23,Gold,Mining,REG014,Odisha,East,SP0035,Karan Verma,Senior Sales Executive,PRD0017,Casing Pipe,Drilling Tools,10,575504,798082,7980820,5,399041.0,1364720.22,2225780,8946499.22,RTGS,Overdue,Processing,30,Low
INV100097,2025-09-02,2025,9,3,2,Tuesday,CUST0435,Oil India Branch 6,Gold,Manufacturing,REG005,Punjab,North,SP0089,Rohit Gupta,Senior Sales Executive,PRD0015,Completion Valve,Downhole Tools,11,894731,1269705,13966755,15,2095013.25,2136913.52,4124714,14008655.27,RTGS,Pending,Processing,18,Medium
INV100098,2023-03-14,2023,3,1,14,Tuesday,CUST0486,Tata Steel Branch 22,Platinum,Energy,REG018,Chhattisgarh,Central,SP0014,Sandeep Patel,Senior Sales Executive,PRD0012,Tubing Hanger,Hydraulic Equipment,17,1002729,1270201,21593417,15,3239012.55,3303792.8,4547024,21658197.25,Cheque,Paid,Processing,15,Low
INV100099,2022-06-23,2022,6,2,23,Thursday,CUST0390,Schlumberger Branch 1,Gold,Mining,REG017,Jharkhand,East,SP0024,Pooja Singh,Sales Executive,PRD0015,Completion Valve,Downhole Tools,10,894731,1269705,12697050,20,2539410.0,1828375.2,3749740,11986015.2,Cheque,Overdue,Processing,18,Medium
INV100100,2023-11-18,2023,11,4,18,Saturday,CUST0134,JSW Steel Branch 11,Platinum,Mining,REG001,Rajasthan,North,SP0001,Shreya Gupta,Area Sales Manager,PRD0006,Crossover,Downhole Tools,3,591369,732629,2197887,5,109894.35,375838.68,423780,2463831.33,Cheque,Pending,Delivered,11,Low
